model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,3500,512,4,32,4,4.800559155783375e-05,0.0069286067544517,0.0052492094840824,0.9929795403128702
double_lstm_with_attention,3500,512,4,32,8,4.1802743147764826e-05,0.00646550409077,0.0047035930458273,0.9938866606252156
double_lstm_with_attention,3500,512,4,32,16,4.545344001462749e-05,0.0067419166425155,0.0049500033213671,0.9933527734393268
double_lstm_with_attention,3500,512,4,32,32,4.117829247885897e-05,0.0064170314382009,0.0047099216991542,0.993977981877707
double_lstm_with_attention,3500,512,4,32,64,4.3858800673074885e-05,0.0066225977284653,0.0049701610149782,0.9935859775484648
double_lstm_with_attention,3500,512,4,64,4,4.4054645694121674e-05,0.0066373673767632,0.0048392957274211,0.9935573366749628
double_lstm_with_attention,3500,512,4,64,8,4.60320042723565e-05,0.0067846889591459,0.0049590603086102,0.9932681627321988
double_lstm_with_attention,3500,512,4,64,16,4.669558003698417e-05,0.0068334164249651,0.0051550380317003,0.993171119726296
double_lstm_with_attention,3500,512,4,64,32,6.361583701016382e-05,0.0079759536740231,0.0063952560034363,0.9906966583537498
double_lstm_with_attention,3500,512,4,64,64,4.1124364396159346e-05,0.0064128281121638,0.0046890233452811,0.9939858684575472
double_lstm_with_attention,3500,512,8,4,4,4.335001013604303e-05,0.0065840724582922,0.0046988776708976,0.9936603843693892
double_lstm_with_attention,3500,512,8,4,8,6.436180176019165e-05,0.0080225807418929,0.0064116678105107,0.9905875665732792
double_lstm_with_attention,3500,512,8,4,16,4.573333708147368e-05,0.006762642758676,0.005256536319103,0.9933118405810788
double_lstm_with_attention,3500,512,8,4,32,5.0255795572583234e-05,0.007089132215764,0.0055171364123501,0.9926504647601956
double_lstm_with_attention,3500,512,8,4,64,4.085035487584264e-05,0.0063914282344279,0.0047010992072383,0.9940259403060308
double_lstm_with_attention,3500,512,8,8,4,4.0934968808608774e-05,0.0063980441393138,0.0046950227876252,0.9940135661495072
double_lstm_with_attention,3500,512,8,8,8,4.810441403238968e-05,0.0069357345704971,0.0050762794183764,0.9929650882630926
double_lstm_with_attention,3500,512,8,8,16,7.38448633172362e-05,0.0085933033995801,0.0067337814116279,0.9892007395556056
double_lstm_with_attention,3500,512,8,8,32,4.606116598781499e-05,0.0067868377015967,0.0050743600268915,0.993263898048833
double_lstm_with_attention,3500,512,8,8,64,5.371231702223428e-05,0.0073288687409609,0.0054867590525742,0.9921449742807014
double_lstm_with_attention,3500,512,8,16,4,4.13843401761895e-05,0.0064330661566775,0.0047155423536487,0.9939478489389014
double_lstm_with_attention,3500,512,8,16,8,4.3159957097427426e-05,0.0065696238170406,0.0048643049024649,0.9936881782086634
double_lstm_with_attention,3500,512,8,16,16,6.16345725587668e-05,0.0078507689151297,0.0062419247477003,0.9909864035013296
double_lstm_with_attention,3500,512,8,16,32,3.93703164730999e-05,0.0062745769955511,0.0045923627860917,0.9942423848826868
double_lstm_with_attention,3500,512,8,16,64,4.397949713435458e-05,0.0066317039389854,0.0048960948130448,0.9935683265912888
double_lstm_with_attention,3500,512,8,32,4,4.9357586988429104e-05,0.007025495497716,0.0052916662411556,0.992781821065806
double_lstm_with_attention,3500,512,8,32,8,0.0001598576092392,0.0126434808988356,0.0112670347548706,0.9766220170416424
double_lstm_with_attention,3500,512,8,32,16,5.631197419065928e-05,0.0075041304753221,0.0058930576602437,0.9917647938109054
double_lstm_with_attention,3500,512,8,32,32,6.536453546554015e-05,0.0080848336696273,0.0064937482298665,0.9904409242483566
