model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,2000,256,32,4,64,0.0004721508691171,0.0217290328619822,0.0166830362536681,0.8990515414852863
double_lstm_with_attention,2000,256,32,8,4,0.0160745663119319,0.1267855130207388,0.1207606275335357,-2.4368308873738607
double_lstm_with_attention,2000,256,32,8,8,0.000316862887259,0.0178006428889241,0.0109719270295247,0.9322529680203028
double_lstm_with_attention,2000,256,32,8,16,0.0002067642093152,0.0143792979423616,0.0128911234955999,0.955792672275677
double_lstm_with_attention,2000,256,32,8,32,0.000414749547924,0.020365400755303,0.0148598007257926,0.9113242603769776
double_lstm_with_attention,2000,256,32,8,64,0.0002743886490575,0.0165646807713744,0.0097207118876068,0.9413341942839388
double_lstm_with_attention,2000,256,32,16,4,4.571540551891378e-05,0.00676131684799,0.005271651048427,0.9902257942971936
double_lstm_with_attention,2000,256,32,16,8,0.0001429993135263,0.0119582320401608,0.0108551453668204,0.96942595849471
double_lstm_with_attention,2000,256,32,16,16,0.000446963535889,0.0211415121476449,0.0159449869500162,0.9044367321728016
double_lstm_with_attention,2000,256,32,16,32,4.039747939100076e-05,0.0063559011470444,0.0048330510777033,0.991362796218024
double_lstm_with_attention,2000,256,32,16,64,7.786814193495569e-05,0.0088242927158472,0.0065650412959626,0.9833513620118126
double_lstm_with_attention,2000,256,32,32,4,4.4177455610577234e-05,0.006646612340928,0.005187617272616,0.9905546164654334
double_lstm_with_attention,2000,256,32,32,8,3.6582033775090726e-05,0.0060483083399485,0.0045219740844668,0.9921785595230734
double_lstm_with_attention,2000,256,32,32,16,0.000304904971593,0.0174615283292467,0.0110862799920847,0.9348096363068206
double_lstm_with_attention,2000,256,32,32,32,7.597775972215741e-05,0.008716522226333,0.0060671304430408,0.983755536149504
double_lstm_with_attention,2000,256,32,32,64,9.629932513916718e-05,0.0098132219550546,0.0086147881877219,0.9794106734421896
double_lstm_with_attention,2000,256,32,64,4,0.0160745058703981,0.126785274659158,0.1207604096262452,-2.4368179646407553
double_lstm_with_attention,2000,256,32,64,8,0.0002233030785053,0.0149433288963788,0.0135906781904282,0.9522565708735052
double_lstm_with_attention,2000,256,32,64,16,0.000384070755381,0.0195977232193193,0.0172188059085044,0.917883555337304
double_lstm_with_attention,2000,256,32,64,32,0.0030895337010081,0.0555835740215411,0.0355879144447924,0.3394406638936492
double_lstm_with_attention,2000,256,32,64,64,0.0005170894876794,0.0227396017484787,0.0180508695802861,0.8894434171157828
double_lstm_with_attention,2000,256,64,4,4,4.344403709055767e-05,0.0065912090765319,0.0050793461078762,0.9907114253879302
