timestamp,requests,predict
2015-03-16 11:27:00,72311,71736
2015-03-16 11:28:00,72379,72042
2015-03-16 11:29:00,72686,72164
2015-03-16 11:30:00,71658,72327
2015-03-16 11:31:00,72175,71705
2015-03-16 11:32:00,72012,71895
2015-03-16 11:33:00,72528,71865
2015-03-16 11:34:00,72477,72232
2015-03-16 11:35:00,73188,72356
2015-03-16 11:36:00,73227,72779
2015-03-16 11:37:00,73382,72992
2015-03-16 11:38:00,73638,73156
2015-03-16 11:39:00,74100,73349
2015-03-16 11:40:00,73707,73670
2015-03-16 11:41:00,73406,73585
2015-03-16 11:42:00,74035,73350
2015-03-16 11:43:00,74520,73668
2015-03-16 11:44:00,74811,74083
2015-03-16 11:45:00,75758,74465
2015-03-16 11:46:00,75249,75108
2015-03-16 11:47:00,74999,75128
2015-03-16 11:48:00,75806,74947
2015-03-16 11:49:00,75776,75320
2015-03-16 11:50:00,76539,75465
2015-03-16 11:51:00,76508,75986
2015-03-16 11:52:00,76197,76231
2015-03-16 11:53:00,76592,76140
2015-03-16 11:54:00,76109,76326
2015-03-16 11:55:00,76623,76080
2015-03-16 11:56:00,76306,76328
2015-03-16 11:57:00,76685,76234
2015-03-16 11:58:00,76079,76482
2015-03-16 11:59:00,75693,76167
2015-03-16 12:00:00,77495,75840
2015-03-16 12:01:00,76225,76648
2015-03-16 12:02:00,77200,76338
2015-03-16 12:03:00,76409,76846
2015-03-16 12:04:00,77009,76485
2015-03-16 12:05:00,76115,76774
2015-03-16 12:06:00,75955,76241
2015-03-16 12:07:00,75749,76036
2015-03-16 12:08:00,75795,75803
2015-03-16 12:09:00,77309,75796
2015-03-16 12:10:00,79309,76600
2015-03-16 12:11:00,77583,77722
2015-03-16 12:12:00,76902,77754
2015-03-16 12:13:00,78444,77181
